ID,TIME,PRED_S
3,1.0,0.17912956
3,2.0,0.108411066
3,3.0,0.067687936
3,4.0,0.04315938
3,5.0,0.027671238
3,6.0,0.017600276
3,7.0,0.011015721
3,8.0,0.006777739
3,9.0,0.0041293674
3,10.0,0.0025279121
3,11.0,0.0015833571
3,12.0,0.001030704
3,13.0,0.0007034654
3,14.0,0.00050393806
3,15.0,0.00037723026
3,16.0,0.00029301338
3,17.0,0.00023445101
3,18.0,0.00019201849
3,19.0,0.00016016663
3,20.0,0.00013555503
3,21.0,0.000116092575
3,22.0,0.00010042093
3,23.0,8.762365e-05
3,24.0,7.705817e-05
3,25.0,6.8259746e-05
3,26.0,6.0881513e-05
3,27.0,5.465892e-05
3,28.0,4.9384675e-05
3,29.0,4.4894798e-05
3,30.0,4.105694e-05
3,31.0,3.7763322e-05
3,32.0,3.492513e-05
3,33.0,3.2469234e-05
3,34.0,3.0334446e-05
3,35.0,2.8469438e-05
3,36.0,2.6831285e-05
3,37.0,2.538387e-05
3,38.0,2.4096567e-05
3,39.0,2.2943912e-05
3,40.0,2.1904576e-05
3,41.0,2.0960697e-05
3,42.0,2.0097737e-05
3,43.0,1.930389e-05
3,44.0,1.8569644e-05
3,45.0,1.7887649e-05
3,46.0,1.7252125e-05
3,47.0,1.6658885e-05
3,48.0,1.6104803e-05
3,49.0,1.558745e-05
3,50.0,1.5105246e-05
3,51.0,1.4656675e-05
3,52.0,1.4240494e-05
3,53.0,1.3855475e-05
3,54.0,1.3500099e-05
3,55.0,1.3172567e-05
3,56.0,1.2870816e-05
3,57.0,1.2592263e-05
3,58.0,1.2334092e-05
3,59.0,1.2093155e-05
3,60.0,1.1865965e-05
3,61.0,1.1648995e-05
3,62.0,1.14387185e-05
3,63.0,1.1231745e-05
3,64.0,1.1025036e-05
3,65.0,1.0816064e-05
3,66.0,1.0602788e-05
3,67.0,1.038398e-05
3,68.0,1.0159053e-05
3,69.0,9.928246e-06
3,70.0,9.69238e-06
3,71.0,9.452891e-06
3,72.0,9.2117e-06
3,73.0,8.970963e-06
3,74.0,8.733052e-06
3,75.0,8.500323e-06
3,76.0,8.275012e-06
3,77.0,8.059084e-06
3,78.0,7.85437e-06
3,79.0,7.662217e-06
3,80.0,7.483653e-06
3,81.0,7.319462e-06
3,82.0,7.1699346e-06
3,83.0,7.035167e-06
3,84.0,6.9149373e-06
3,85.0,6.808823e-06
3,86.0,6.716182e-06
3,87.0,6.636202e-06
3,88.0,6.5679146e-06
3,89.0,6.51033e-06
3,90.0,6.4623287e-06
3,91.0,6.422761e-06
3,92.0,6.3904586e-06
3,93.0,6.364264e-06
3,94.0,6.3430684e-06
3,95.0,6.325767e-06
3,96.0,6.31139e-06
3,97.0,6.2990453e-06
3,98.0,6.2878994e-06
3,99.0,6.2772406e-06
3,100.0,6.266546e-06
3,101.0,6.2552967e-06
3,102.0,6.243163e-06
3,103.0,6.2297927e-06
3,104.0,6.215017e-06
3,105.0,6.1986207e-06
3,106.0,6.1803994e-06
3,107.0,6.160104e-06
3,108.0,6.137463e-06
3,109.0,6.112102e-06
3,110.0,6.0835137e-06
3,111.0,6.051094e-06
3,112.0,6.0141074e-06
3,113.0,5.9716945e-06
3,114.0,5.922946e-06
3,115.0,5.866847e-06
3,116.0,5.8024293e-06
3,117.0,5.7288216e-06
3,118.0,5.6451768e-06
3,119.0,5.5508713e-06
3,120.0,5.445528e-06
3,121.0,5.32901e-06
3,122.0,5.2014802e-06
3,123.0,5.06343e-06
3,124.0,4.9156083e-06
3,125.0,4.759036e-06
3,126.0,4.594984e-06
3,127.0,4.424862e-06
3,128.0,4.2502224e-06
3,129.0,4.072668e-06
3,130.0,3.893806e-06
3,131.0,3.7151813e-06
4,1.0,1.0
4,2.0,1.0
4,3.0,1.0
4,4.0,1.0
4,5.0,1.0
4,6.0,1.0
4,7.0,1.0
4,8.0,1.0
4,9.0,1.0
4,10.0,1.0
4,11.0,1.0
4,12.0,1.0
4,13.0,1.0
4,14.0,1.0
4,15.0,1.0
4,16.0,1.0
4,17.0,1.0
4,18.0,1.0
4,19.0,0.9999999
4,20.0,0.99999976
4,21.0,0.9999994
4,22.0,0.9999989
4,23.0,0.9999981
4,24.0,0.9999969
4,25.0,0.99999547
4,26.0,0.99999404
4,27.0,0.9999924
4,28.0,0.9999908
4,29.0,0.99998915
4,30.0,0.99998736
4,31.0,0.99998546
4,32.0,0.99998343
4,33.0,0.99998105
4,34.0,0.99997807
4,35.0,0.9999746
4,36.0,0.9999703
4,37.0,0.99996483
4,38.0,0.9999578
4,39.0,0.99994886
4,40.0,0.9999378
4,41.0,0.9999238
4,42.0,0.99990714
4,43.0,0.99988735
4,44.0,0.9998648
4,45.0,0.99983966
4,46.0,0.99981266
4,47.0,0.99978393
4,48.0,0.99975413
4,49.0,0.99972373
4,50.0,0.9996928
4,51.0,0.9996617
4,52.0,0.99963045
4,53.0,0.99959916
4,54.0,0.9995677
4,55.0,0.9995364
4,56.0,0.9995049
4,57.0,0.9994735
4,58.0,0.99944204
4,59.0,0.99941075
4,60.0,0.9993794
4,61.0,0.99934834
4,62.0,0.9993173
4,63.0,0.99928623
4,64.0,0.999255
4,65.0,0.9992236
4,66.0,0.9991917
4,67.0,0.999159
4,68.0,0.9991253
4,69.0,0.9990902
4,70.0,0.9990534
4,71.0,0.9990146
4,72.0,0.99897325
4,73.0,0.99892884
4,74.0,0.9988813
4,75.0,0.9988298
4,76.0,0.9987741
4,77.0,0.99871373
4,78.0,0.9986482
4,79.0,0.9985771
4,80.0,0.9985
4,81.0,0.9984163
4,82.0,0.99832565
4,83.0,0.9982274
4,84.0,0.9981212
4,85.0,0.9980065
4,86.0,0.99788266
4,87.0,0.9977494
4,88.0,0.9976059
4,89.0,0.9974517
4,90.0,0.9972862
4,91.0,0.99710876
4,92.0,0.9969188
4,93.0,0.9967158
4,94.0,0.9964988
4,95.0,0.9962675
4,96.0,0.996021
4,97.0,0.99575883
4,98.0,0.9954803
4,99.0,0.9951847
4,100.0,0.9948716
4,101.0,0.9945403
4,102.0,0.9941901
4,103.0,0.9938206
4,104.0,0.99343115
4,105.0,0.9930212
4,106.0,0.9925903
4,107.0,0.99213797
4,108.0,0.99166346
4,109.0,0.9911663
4,110.0,0.9906459
4,111.0,0.99010146
4,112.0,0.9895325
4,113.0,0.988938
4,114.0,0.9883171
4,115.0,0.9876687
4,116.0,0.9869915
4,117.0,0.9862844
4,118.0,0.9855456
4,119.0,0.9847733
4,120.0,0.9839655
4,121.0,0.98311996
4,122.0,0.9822342
4,123.0,0.98130506
4,124.0,0.98032975
4,125.0,0.97930443
4,126.0,0.97822547
4,127.0,0.9770885
4,128.0,0.9758892
4,129.0,0.97462225
4,130.0,0.97328264
4,131.0,0.97186434
9,1.0,1.0
9,2.0,1.0
9,3.0,1.0
9,4.0,1.0
9,5.0,1.0
9,6.0,1.0
9,7.0,1.0
9,8.0,1.0
9,9.0,1.0
9,10.0,1.0
9,11.0,1.0
9,12.0,1.0
9,13.0,1.0
9,14.0,1.0
9,15.0,1.0
9,16.0,1.0
9,17.0,1.0
9,18.0,1.0
9,19.0,1.0
9,20.0,0.9999999
9,21.0,0.99999976
9,22.0,0.9999994
9,23.0,0.9999988
9,24.0,0.9999976
9,25.0,0.99999607
9,26.0,0.9999938
9,27.0,0.9999912
9,28.0,0.9999883
9,29.0,0.99998534
9,30.0,0.99998236
9,31.0,0.99997973
9,32.0,0.9999776
9,33.0,0.9999759
9,34.0,0.99997497
9,35.0,0.9999746
9,36.0,0.99997485
9,37.0,0.99997544
9,38.0,0.9999765
9,39.0,0.9999778
9,40.0,0.9999794
9,41.0,0.9999809
9,42.0,0.9999825
9,43.0,0.99998415
9,44.0,0.9999856
9,45.0,0.999987
9,46.0,0.9999883
9,47.0,0.9999895
9,48.0,0.9999906
9,49.0,0.9999914
9,50.0,0.99999213
9,51.0,0.99999285
9,52.0,0.9999933
9,53.0,0.9999937
9,54.0,0.99999404
9,55.0,0.9999943
9,56.0,0.9999944
9,57.0,0.9999945
9,58.0,0.9999945
9,59.0,0.9999945
9,60.0,0.9999944
9,61.0,0.9999943
9,62.0,0.99999404
9,63.0,0.9999938
9,64.0,0.99999344
9,65.0,0.9999931
9,66.0,0.9999926
9,67.0,0.99999213
9,68.0,0.99999154
9,69.0,0.9999908
9,70.0,0.9999901
9,71.0,0.9999893
9,72.0,0.9999883
9,73.0,0.99998724
9,74.0,0.99998605
9,75.0,0.99998474
9,76.0,0.9999832
9,77.0,0.9999815
9,78.0,0.9999796
9,79.0,0.9999776
9,80.0,0.9999753
9,81.0,0.9999727
9,82.0,0.99996996
9,83.0,0.99996674
9,84.0,0.9999633
9,85.0,0.99995947
9,86.0,0.9999552
9,87.0,0.9999505
9,88.0,0.9999454
9,89.0,0.9999398
9,90.0,0.9999336
9,91.0,0.9999268
9,92.0,0.9999193
9,93.0,0.99991107
9,94.0,0.9999021
9,95.0,0.99989223
9,96.0,0.9998815
9,97.0,0.9998697
9,98.0,0.9998567
9,99.0,0.99984264
9,100.0,0.9998273
9,101.0,0.9998104
9,102.0,0.9997919
9,103.0,0.99977165
9,104.0,0.9997496
9,105.0,0.9997254
9,106.0,0.9996989
9,107.0,0.9996699
9,108.0,0.9996382
9,109.0,0.99960345
9,110.0,0.9995653
9,111.0,0.99952364
9,112.0,0.99947804
9,113.0,0.999428
9,114.0,0.9993734
9,115.0,0.9993135
9,116.0,0.99924797
9,117.0,0.99917656
9,118.0,0.99909854
9,119.0,0.9990133
9,120.0,0.99892056
9,121.0,0.99881953
9,122.0,0.99870956
9,123.0,0.99859005
9,124.0,0.9984603
9,125.0,0.99831945
9,126.0,0.9981669
9,127.0,0.99800164
9,128.0,0.9978229
9,129.0,0.99762946
9,130.0,0.99742043
9,131.0,0.9971945
11,1.0,1.0
11,2.0,1.0
11,3.0,1.0
11,4.0,1.0
11,5.0,1.0
11,6.0,1.0
11,7.0,1.0
11,8.0,1.0
11,9.0,1.0
11,10.0,1.0
11,11.0,1.0
11,12.0,1.0
11,13.0,1.0
11,14.0,1.0
11,15.0,1.0
11,16.0,1.0
11,17.0,1.0
11,18.0,1.0
11,19.0,1.0
11,20.0,1.0
11,21.0,1.0
11,22.0,1.0
11,23.0,1.0
11,24.0,1.0
11,25.0,1.0
11,26.0,1.0
11,27.0,1.0
11,28.0,1.0
11,29.0,1.0
11,30.0,1.0
11,31.0,1.0
11,32.0,1.0
11,33.0,1.0
11,34.0,1.0
11,35.0,1.0
11,36.0,1.0
11,37.0,1.0
11,38.0,0.9999999
11,39.0,0.99999964
11,40.0,0.9999988
11,41.0,0.9999958
11,42.0,0.99998677
11,43.0,0.9999629
11,44.0,0.99991155
11,45.0,0.9998161
11,46.0,0.9996525
11,47.0,0.999383
11,48.0,0.9989549
11,49.0,0.9983089
11,50.0,0.9973968
11,51.0,0.99620205
11,52.0,0.99474853
11,53.0,0.9930964
11,54.0,0.991325
11,55.0,0.98951423
11,56.0,0.98772776
11,57.0,0.9860014
11,58.0,0.984339
11,59.0,0.9827132
11,60.0,0.9810708
11,61.0,0.97933894
11,62.0,0.97743237
11,63.0,0.9752622
11,64.0,0.9727465
11,65.0,0.9698238
11,66.0,0.9664699
11,67.0,0.9627144
11,68.0,0.9586499
11,69.0,0.9544292
11,70.0,0.95024437
11,71.0,0.9462937
11,72.0,0.942747
11,73.0,0.93972045
11,74.0,0.93726605
11,75.0,0.9353781
11,76.0,0.93400574
11,77.0,0.9330724
11,78.0,0.93248975
11,79.0,0.9321697
11,80.0,0.9320308
11,81.0,0.9320024
11,82.0,0.9320251
11,83.0,0.9320506
11,84.0,0.9320392
11,85.0,0.93196046
11,86.0,0.93178976
11,87.0,0.9315076
11,88.0,0.9310988
11,89.0,0.9305506
11,90.0,0.92985266
11,91.0,0.9289967
11,92.0,0.92797506
11,93.0,0.9267814
11,94.0,0.92540973
11,95.0,0.9238545
11,96.0,0.9221103
11,97.0,0.9201718
11,98.0,0.9180332
11,99.0,0.91568893
11,100.0,0.91313225
11,101.0,0.9103569
11,102.0,0.90735376
11,103.0,0.9041147
11,104.0,0.90062946
11,105.0,0.8968866
11,106.0,0.89287275
11,107.0,0.8885738
11,108.0,0.8839738
11,109.0,0.87905526
11,110.0,0.8738
11,111.0,0.8681881
11,112.0,0.8622
11,113.0,0.8558159
11,114.0,0.8490161
11,115.0,0.84178346
11,116.0,0.83410156
11,117.0,0.82595825
11,118.0,0.8173443
11,119.0,0.808256
